"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.785/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0xaafaac21b251a16b4d8dcb8072c4b6c29a5dec08c896fd10193f04c91441dc71","36585159","1670518290","2022-12-08 16:51:30","0x9e6ed2bdde9909964626e5a4a8839d50205a65e3","0x1213c2364061f7cf11eca008c121072c63a213db","","177.287865","0","139.185373504982","0.002551868159148","0.00200342376996014","0.93","","","Transfer"
"0xe66acff4c467e21c81acb3f574b57af3427650552b2e932597c6b7051706587d","36585820","1670519652","2022-12-08 17:14:12","0x1213c2364061f7cf11eca008c121072c63a213db","0xba12222222228d8ba445958a75a0704d566bf2c8","","0","175","137.389213657527","0.017454826154318868","0.0137034562278326","0.93","","","Join Pool"
"0xd2e268f75ac64f36429bcb27ef743b409e2c0269a1f45aaf9c8c1ec4691a1954","36585853","1670519718","2022-12-08 17:15:18","0x1213c2364061f7cf11eca008c121072c63a213db","0x8159462d255c1d24915cb51ec361f700174cd994","","0","0","0","0.003283317039076456","0.00257767054964042","0.93","","","Approve"
"0x82cc0df1913a998161eba79a75215144559ffee3db3f7bf0ad515e09e3fceeb0","36585862","1670519740","2022-12-08 17:15:40","0x1213c2364061f7cf11eca008c121072c63a213db","0xf79bf908d0e6d8e7054375cd80dd33424b1980bf","","0","0","0","0.059081650937948835","0.0463838946511616","0.93","","","Deposit All"
"0xa921c4712b7a4497333b56e18d45c1f130497ad5e8efa158ad4d04926ec2fa7f","36586540","1670521151","2022-12-08 17:39:11","0x1213c2364061f7cf11eca008c121072c63a213db","0xf79bf908d0e6d8e7054375cd80dd33424b1980bf","","0","0","0","0.001813034812429386","0.00142337958407654","0.93","","","Approve"
"0xb41ce11b980b9ee1d04b28611ba6a2dd32671601712a5e28307c4dbe1a0e4960","36586552","1670521175","2022-12-08 17:39:35","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.004459652057960091","0.00350118908245319","0.93","","","Stake"
"0xf6e7a57615675ccede3db4eabbd2d200e342a7a99fe11672f694dba26b4b7cdf","36589040","1670526589","2022-12-08 19:09:49","0x1213c2364061f7cf11eca008c121072c63a213db","0x4e60a426ea122cb35c35fbda9f5f732995b9e226","","0","1.10085","0.864256662027935","0.0149149845","0.0117094742409669","0.93","","","Predict"
"0x2ee25ec134d3538b8a12c636c1c65305c80ae58920f75ff000e78b6bd6113a33","36649438","1670655679","2022-12-10 07:01:19","0xf89d7b9c864f589bbf53a82105107622b35eaa40","0x1213c2364061f7cf11eca008c121072c63a213db","","1712.93669559","0","1344.79443229847","0.021","0.0164867056389032","0.91","","","Transfer"
"0xabde1fbb98f9b9f967c2af6295e816dd7812c8819417dcb36a5e370ae4754d0a","36649735","1670656309","2022-12-10 07:11:49","0x1213c2364061f7cf11eca008c121072c63a213db","0xba12222222228d8ba445958a75a0704d566bf2c8","","0","1712","1344.05905018106","0.009310854354901528","0.00730977690456961","0.91","","","Join Pool"
"0x9ee8b7aee07128d92ab7fe9fbbe45b02daca112ba9a7cfcfb2ae4955774eb827","36649743","1670656341","2022-12-10 07:12:21","0x1213c2364061f7cf11eca008c121072c63a213db","0xf79bf908d0e6d8e7054375cd80dd33424b1980bf","","0","0","0","0.032742620529186008","0.0257056165005238","0.91","","","Deposit All"
"0x76242f14ec640ebf7ee033eac2418bc440ae74a2413fe65209303c7c8c4e7ed0","36649752","1670656377","2022-12-10 07:12:57","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.005434025189718804","0.00426615113034663","0.91","","","Stake"
"0x773b7c074b2de1517cb48e62b0eab1d0e20653ce1cedbb2cc713a004ca8a77e0","37065196","1671556305","2022-12-20 17:11:45","0x9ac5637d295fea4f51e086c329d791cc157b1c84","0x1213c2364061f7cf11eca008c121072c63a213db","","257.052","0","201.806697994826","0.001999292939259","0.00156960734169051","0.80","","","Transfer"
"0x91e6f6b62e6650ddc5dbe9fda078de028ee89627289cbcd2b53cf91e1d3b0ba2","37065873","1671557728","2022-12-20 17:35:28","0x1213c2364061f7cf11eca008c121072c63a213db","0xaaa3477c6b326e2e416af7506a30f4519bc9960f","","0","258","202.55095499224","0.023872329846401784","0.0187417178615443","0.80","","","Beef In ETH"
"0xcd3f3edf9d1c360bf27e91bd5be3e38c295f11d7a18520e43db73920f07c9de3","37066198","1671558463","2022-12-20 17:47:43","0x1213c2364061f7cf11eca008c121072c63a213db","0xc24cf5fa29e619f2d5ccbec46f2295876c3722ff","","0","0","0","0.003708831634668966","0.00291173406785903","0.80","","","Approve"
"0x2fe7d3f7a86dc96799f61c1b681711ae217891efec634608eacde5d4596e247d","37066203","1671558483","2022-12-20 17:48:03","0x1213c2364061f7cf11eca008c121072c63a213db","0xaaa3477c6b326e2e416af7506a30f4519bc9960f","","0","0","0","0.035051840522823695","0.0275185417524559","0.80","","","Beef Out And Swap"
"0x7962430815933a6fa7013ca185369dd9793ebceb791193f385390d58a6d195cf","37066223","1671558549","2022-12-20 17:49:09","0x1213c2364061f7cf11eca008c121072c63a213db","0xba12222222228d8ba445958a75a0704d566bf2c8","","0","257","201.76587377134","0.022179749237368676","0.0174129046105327","0.80","","","Join Pool"
"0x97df17aeadfaa61776583609cbc4f0b36d950ccb75cca4f8358566af5e828ce6","37066246","1671558616","2022-12-20 17:50:16","0x1213c2364061f7cf11eca008c121072c63a213db","0xf79bf908d0e6d8e7054375cd80dd33424b1980bf","","0","0","0","0.060557440902826039","0.0475425096385796","0.80","","","Deposit All"
"0x82b7bea99735e41c21ffe6a150adb415777b9a9fbe5d8ca077620b5ef1828741","37066269","1671558662","2022-12-20 17:51:02","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.005380804430930564","0.00422436851205993","0.80","","","Stake"
"0xc4aa3a17b37f58d8951ce4988a1a08471816e3c3d2e7cea60ab3a39ca257b5ad","37105321","1671641638","2022-12-21 16:53:58","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.008451946834448565","0.00663546473977207","0.79","","","Exit"
"0xaf43eacb2f90622f49bc27c45720391530c37c530741dd1e46bfb5a9c7d29153","37343187","1672152279","2022-12-27 14:44:39","0x1213c2364061f7cf11eca008c121072c63a213db","0xc3c7d422809852031b44ab29eec9f1eff2a58756","","0","0","0","0.009646080403356896","0.00757295657996848","0.81","","","Approve"
"0x864d39718af4acb095e6e8f23ccbfdb737ac92c0aa63afeea98338be204fc54a","37371183","1672214411","2022-12-28 08:00:11","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.00417960138581685","0.00328132655885307","0.78","","","Stake"
"0x79a5eaf23825d4d96c3eefbfd1dc7984b8f3267f2f0d66aaf6ce2183e18fffd2","37819103","1673174568","2023-01-08 10:42:48","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.005573697880122284","0.004375805536655","0.84","","","Get Reward"
"0x6aad5ee61a6981534ae865fbc24c35fb66fefcb765ba0d369c2af747feeb4f46","37819280","1673174934","2023-01-08 10:48:54","0x1213c2364061f7cf11eca008c121072c63a213db","0x540a9f99bb730631bf243a34b19fd00ba8cf315c","","0","4.5","3.53286549405069","0.035674770010456773","0.0280075919951416","0.84","","","Beef In ETH"
"0x27e870514e306fb4acf9482ab0bd638a3337264888613f177b23fb106a6b2996","37868281","1673280035","2023-01-09 16:00:35","0x1213c2364061f7cf11eca008c121072c63a213db","0x944a5c12cd4399abc6883ff1ba40a14c23b2fd37","","0","0","0","0.0075715237664091","0.00594426112260699","0.84","","","Approve"
"0xe347746e1492e77083c8c034d780ae175242e841036fd674e2fc1691add7af83","37868291","1673280059","2023-01-09 16:00:59","0x1213c2364061f7cf11eca008c121072c63a213db","0xd2154257ec830610b609b13056340564f85f2f86","","0","0","0","0.082540518878893788","0.0648010113351741","0.84","","","Beef Out And Swap"
"0x5f76dc3760aee07e4c085aae0b02224d5ef4b28898b9817f1d9cd428a2527c2a","37868511","1673280575","2023-01-09 16:09:35","0x1213c2364061f7cf11eca008c121072c63a213db","0x34fa22892256216a659d4f635354250b4d771458","","0","0","0","0.026880856860391867","0.0211036559227987","0.84","","","Create Vault"
"0xd1e4f89e53e87ba53e845844585184d6614ad46e1ca2166c6db18e6a040ee1da","37868788","1673281209","2023-01-09 16:20:09","0x1213c2364061f7cf11eca008c121072c63a213db","0x69c28193185cfcd42d62690db3767915872bc5ea","","0","0","0","0.009971758078781208","0.00782864000701053","0.84","","","Exit"
"0x68b8c0ee972a3cf785377738ed6609b75a80ee9a2c1337538f8f5390bbc5adca","37869183","1673282151","2023-01-09 16:35:51","0x1213c2364061f7cf11eca008c121072c63a213db","0xf79bf908d0e6d8e7054375cd80dd33424b1980bf","","0","0","0","0.021878327788993247","0.0171762642918366","0.84","","","Withdraw All"
"0xc574bcc3ffad7680d9f9a06b241dfb900aba1504eb4abfc70bb00d928f50a8ca","37869228","1673282245","2023-01-09 16:37:25","0x1213c2364061f7cf11eca008c121072c63a213db","0xba12222222228d8ba445958a75a0704d566bf2c8","","0","0","0","0.030003016209909652","0.023554804596763","0.84","","","Exit Pool"
"0x27e1d43cdc522f21621836146eb7e101b567557bc21fea1bf1d58861ccbf0693","37869253","1673282299","2023-01-09 16:38:19","0x1213c2364061f7cf11eca008c121072c63a213db","0xba12222222228d8ba445958a75a0704d566bf2c8","","0","3","2.35524366270046","0.016913644296946695","0.0132785845145178","0.84","","","0x52bbbe29"
"0x9295530db33d77cade438ab455f2ef2d6463969e346106fc2111a729d12745e1","37869284","1673282361","2023-01-09 16:39:21","0x1213c2364061f7cf11eca008c121072c63a213db","0x3a58a54c066fdc0f2d55fc9c89f0415c92ebf3c4","","0","0","0","0.005143443114799","0.00403802060019689","0.84","","","Approve"
"0xbe8691916f10f9e22f2fc6004b75aef08731a929ab2e94edee6a18f08fa26f2b","37869306","1673282405","2023-01-09 16:40:05","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.014711989455226646","0.0115501066433795","0.84","","","Supply"
"0xc06d70633ae19a853701d2ba314870c58f6ad0dc1a35ad99871f8e23ed739185","37869363","1673282627","2023-01-09 16:43:47","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.052377349549448889","0.0411204735317955","0.84","","","Borrow"
"0x2636e03d3918fd7e987200d14f743121934ebbf86c52899d423708e7afc4290b","37869389","1673282707","2023-01-09 16:45:07","0x1213c2364061f7cf11eca008c121072c63a213db","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","","0","0","0","0.01246565808008364","0.00978655406483593","0.84","","","Approve"
"0xfec170f0547a87d4045f070ad403ee7ccdb64ccac7e4650c0062313b9028e8c0","37869449","1673282831","2023-01-09 16:47:11","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.023858233761411036","0.0187306512899298","0.84","","","Supply"
"0xfe9a1bc0205fa913b92805809538dc30e3b09c091131b53fc8a0898a4448badd","38053079","1673668989","2023-01-14 04:03:09","0x1213c2364061f7cf11eca008c121072c63a213db","0x794a61358d6845594f94dc1db02a252b5b4814ad","","0","0","0","0.013131580863693015","0.0103093575368172","1.00","","","Withdraw"
